"trend_dif","lci","uci","prob_neg","trend_type","species","start_year1","end_year1","start_year2","end_year2","parameter"
0.0187189205383668,-4.20164763437508,3.81397138617603,0.47,"Three Generation vs Earlier Three Generation","Semipalmated Sandpiper",1995,2007,2007,2019,"NSmooth"
-0.829318521115281,-5.26284385185984,3.183656810376,0.64375,"Three Generation vs All Previous","Semipalmated Sandpiper",1980,2007,2007,2019,"NSmooth"
-2.40845473859231,-7.49322102610146,2.67357255859759,0.81375,"Three Generation vs Long-term","Short-billed Dowitcher",1980,2019,2007,2019,"NSmooth"
-5.58909506840319,-14.577062669322,2.79592274480371,0.8871875,"Three Generation vs Earlier Three Generation","Short-billed Dowitcher",1995,2007,2007,2019,"NSmooth"
-3.52391399552478,-11.0256135979873,3.83850965717406,0.81375,"Three Generation vs All Previous","Short-billed Dowitcher",1980,2007,2007,2019,"NSmooth"
0.262861054285191,-4.74967355845409,5.66345885012762,0.4659375,"Three Generation vs Long-term","Long-billed Dowitcher",1980,2019,2007,2019,"NSmooth"
2.92419639441403,-3.26843174575494,10.1593359312423,0.179375,"Three Generation vs Earlier Three Generation","Long-billed Dowitcher",1995,2007,2007,2019,"NSmooth"
0.356891673885577,-6.93839195460952,8.07883354373191,0.4659375,"Three Generation vs All Previous","Long-billed Dowitcher",1980,2007,2007,2019,"NSmooth"
2.19608110546306,-0.0641775072520982,4.72083210401766,0.0290625,"Three Generation vs Long-term","Spotted Sandpiper",1980,2019,2008,2019,"NSmooth"
2.74892051827935,-0.546654961383436,6.11877510079356,0.0459375,"Three Generation vs Earlier Three Generation","Spotted Sandpiper",1997,2008,2008,2019,"NSmooth"
3.04150881497247,-0.0894017002926545,6.51530933089155,0.0290625,"Three Generation vs All Previous","Spotted Sandpiper",1980,2008,2008,2019,"NSmooth"
-5.51524289144405,-10.2275959992954,-1.34744560286137,0.9975,"Three Generation vs Long-term","Solitary Sandpiper",1980,2019,2009,2019,"NSmooth"
-4.36269250630647,-11.0029940182941,0.533959477901606,0.9546875,"Three Generation vs Earlier Three Generation","Solitary Sandpiper",1999,2009,2009,2019,"NSmooth"
-7.50627271853179,-14.0285681907094,-1.81635832787778,0.9975,"Three Generation vs All Previous","Solitary Sandpiper",1980,2009,2009,2019,"NSmooth"
-3.34696511667295,-6.30902553342811,-0.407553038514935,0.9859375,"Three Generation vs Long-term","Lesser Yellowlegs",1980,2019,2006,2019,"NSmooth"
-2.95274109794189,-7.39490120198422,1.36978584182727,0.9071875,"Three Generation vs Earlier Three Generation","Lesser Yellowlegs",1993,2006,2006,2019,"NSmooth"
-5.07501164314067,-9.62816250511925,-0.611975097012143,0.9859375,"Three Generation vs All Previous","Lesser Yellowlegs",1980,2006,2006,2019,"NSmooth"
-0.997095090816291,-3.49928944339933,1.04885836686549,0.7903125,"Three Generation vs Long-term","Willet",1980,2019,2002,2019,"NSmooth"
-1.43522975790348,-5.08089628326629,1.9394092497728,0.775625,"Three Generation vs Earlier Three Generation","Willet",1985,2002,2002,2019,"NSmooth"
-1.78444369807817,-6.290757703268,1.85190349918303,0.7903125,"Three Generation vs All Previous","Willet",1980,2002,2002,2019,"NSmooth"
-2.2637716899699,-4.41921940532885,-0.248316979793562,0.98875,"Three Generation vs Long-term","Greater Yellowlegs",1980,2019,2004,2019,"NSmooth"
-3.16035620666093,-6.58476091082488,-0.121156026352436,0.9821875,"Three Generation vs Earlier Three Generation","Greater Yellowlegs",1989,2004,2004,2019,"NSmooth"
-3.71186933640672,-7.28748586008836,-0.403830242749246,0.98875,"Three Generation vs All Previous","Greater Yellowlegs",1980,2004,2004,2019,"NSmooth"
3.60462738852588,-1.39850559196894,9.12117776623581,0.0784375,"Three Generation vs Long-term","Wilson's Phalarope",1980,2019,2009,2019,"NSmooth"
3.11807907250925,-3.39161303509353,9.34962975984953,0.141875,"Three Generation vs Earlier Three Generation","Wilson's Phalarope",1999,2009,2009,2019,"NSmooth"
4.80189355748815,-1.88548735385671,12.0789494751031,0.0784375,"Three Generation vs All Previous","Wilson's Phalarope",1980,2009,2009,2019,"NSmooth"
