"species","start_year","end_year","trend_type","region","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys","centered_log_trend","centered_log_trend_lci","centered_log_trend_uci","region_type"
"Hudsonian Godwit",2004,2019,"15-year","1205040_462276",0.0226172154512952,-9.00610679574268,9.64042281432639,-1.44591123443072,-75.7236325109025,297.705445058754,0.5084375,0.3159375,0.18,0.050625,0.0163042332013672,0.0585385526423262,22.0625,0.121142866092982,0.0322197999468501,0.206426014700864,"hex_name"
"Hudsonian Godwit",2004,2019,"15-year","1355040_722084",-30.526001290207,-37.5836273594308,-23.2203164842046,-99.5787002251303,-99.9149884298748,-98.1002552460103,1,1,1,1,0.00210425549116953,0.0390804597701149,77.6,-0.243457461668491,-0.345586322458305,-0.150995192681149,"hex_name"
"Hudsonian Godwit",2004,2019,"15-year","1655040_202469",-12.592467926023,-19.5254819844627,-4.97236273585061,-86.9147061650019,-96.1551818441548,-53.4682936617652,0.99875,0.9975,0.9796875,0.9003125,0.171658571316406,0.326777087646653,18.8333333333333,-0.0134014698472571,-0.0866035441475018,0.0593660892818472,"hex_name"
"Hudsonian Godwit",2004,2019,"15-year","1805040_-57339",-13.7062119743244,-22.7166734797796,-4.47273083518821,-89.2130242622328,-97.9044977990047,-49.6603210503209,0.99875,0.991875,0.9740625,0.8965625,0.00262173693387285,0.0142857142857143,21.1428571428571,-0.0267705571939454,-0.13225643654186,0.0689149828697,"hex_name"
"Hudsonian Godwit",2004,2019,"15-year","1805040_462276",-11.467586404555,-19.4838579390828,-3.19275020575377,-84.012718931477,-96.1252437662745,-38.5363562600898,0.9959375,0.98375,0.9484375,0.8146875,0.0267518464283398,0.0187434779367919,18.375,-0.000848588307438913,-0.0863631734514314,0.0795421779112849,"hex_name"
"Hudsonian Godwit",2004,2019,"15-year","1955040_722084",-3.63171605722605,-11.5339214699236,4.4077892175608,-42.5221689380409,-84.0906734921652,90.982473438246,0.813125,0.61875,0.421875,0.1503125,0.153466054701172,0.203814747446434,17.6363636363636,0.0842009890914261,0.00875971813114444,0.153049030418341,"hex_name"
"Hudsonian Godwit",2004,2019,"15-year","2105040_462276",-11.147560763507,-16.3316388283499,-5.87651481266288,-83.0605835778218,-93.1068305949872,-59.6846870830701,1,0.99875,0.98875,0.895625,3.20420779970703,13.0853622431209,13.9090909090909,0.00343403629021467,-0.0336318094419108,0.0273855439293721,"hex_name"
"Hudsonian Godwit",2004,2019,"15-year","2105040_981891",-22.3322615388987,-30.1503121913504,-14.1890306305992,-97.7933054913011,-99.5403078992557,-89.9273832159973,1,1,1,0.9996875,0.0034338629277541,0.0415491740963439,44.1428571428571,-0.132066417530977,-0.235653494850057,-0.0343573318681714,"hex_name"
"Hudsonian Godwit",2004,2019,"15-year","2255040_1241699",-20.9970217978296,-25.1664771229233,-16.5743421261707,-97.0968397172844,-98.7074633686178,-93.400749692412,1,1,1,1,0.736105515494141,1.66650644009474,95.8125,-0.114011875459618,-0.165196159077481,-0.0660169981703667,"hex_name"
"Hudsonian Godwit",2004,2019,"15-year","2255040_722084",-19.2043622664293,-27.040044055514,-11.2397531047292,-95.9496540677836,-99.1163739317603,-83.2784085930562,1,1,1,0.99875,1.1455243108375,0.75809913399675,13.4,-0.0923784503836969,-0.190906039416325,-0.0121310625216262,"hex_name"
