"species","start_year","end_year","trend_type","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys"
"Piping Plover",1980,1995,"First-15-year",-1.63640242231099,-5.68211112822965,2.48776533382881,-21.7515410417834,-58.4174473385299,44.5707254789415,0.789583333333333,0.367083333333333,0.0808333333333333,0.00166666666666667,1.55659502373098,2.21779517386311,290.125
"Piping Plover",2008,2019,"Recent-three-generation",-1.98866078857315,-8.2595815451551,4.67457837406527,-21.1107147571938,-61.2592623112243,65.292630327941,0.7325,0.36875,0.0979166666666667,0.0025,0.898477038041949,1.88747548736461,241.25
"Piping Plover",1997,2008,"Previous-three-generation",-3.19851890375862,-6.67862075305382,-0.197510142424351,-29.9330672323739,-53.2488122611775,-2.15128196833296,0.981666666666667,0.497083333333333,0.0483333333333333,0,1.4983322265891,2.71951096792268,291.916666666667
"Killdeer",1980,2019,"Long-term",-1.10795287997605,-2.62397006170531,0.322385590824092,-35.3907644420824,-64.548812723814,13.3747079681214,0.93375,0.600416666666667,0.19,0.00791666666666667,32.1185946032198,14.9813941241049,865.7
"Killdeer",2004,2019,"15-year",-2.65401625769843,-5.9694096264004,0.25439495838435,-32.7214214677885,-60.2774147471782,3.88463329095068,0.956666666666667,0.56375,0.132083333333333,0.00291666666666667,27.240931739172,7.30962642238903,661
"Killdeer",1980,1995,"First-15-year",0.395591344155575,-2.32272057368126,3.47924330518698,4.03614774637257,-29.7084169587021,67.0316262485426,0.4175,0.0245833333333333,0.000833333333333333,0,35.6653869278722,20.8284600563926,978.75
"Killdeer",2007,2019,"Recent-three-generation",-2.73963722361957,-6.76236573409385,0.855744052807507,-27.7876490282339,-56.8386556136923,10.7663009421226,0.926666666666667,0.447916666666667,0.0758333333333333,0.00166666666666667,26.1361809948558,6.929815175419,667.153846153846
"Killdeer",1995,2007,"Previous-three-generation",-1.30010810451735,-3.1971383193972,0.256072539474752,-13.8592787507313,-32.2891355404214,3.11652182176553,0.940833333333333,0.0504166666666667,0.000416666666666667,0,33.8915515141699,15.7853794318404,927.230769230769
"Whimbrel",1980,2019,"Long-term",-3.4043673616538,-5.92421458311784,-0.806527299091456,-73.9309605530954,-90.7607400242621,-27.081000183052,0.99375,0.969583333333333,0.897916666666667,0.6225,1.44895942475195,1.89679479974552,487.675
"Whimbrel",2004,2019,"15-year",-8.01432484911705,-13.1098024095224,-3.06460992481031,-71.5869200762011,-87.8503878432131,-37.3046212936493,0.999166666666667,0.9875,0.9175,0.555,0.928593612278308,1.28303877562823,409.125
"Whimbrel",1980,1995,"First-15-year",-1.70269399532202,-6.36362830645161,3.16455619899917,-23.0204845076912,-62.7034494808891,59.5723767961491,0.756666666666667,0.40625,0.121666666666667,0.00541666666666667,1.86634615254624,2.40391975181056,551.25
"Whimbrel",1999,2019,"Recent-three-generation",-5.64232753855192,-9.63319744125863,-1.42756407932953,-69.2078278820004,-86.8120175605494,-24.99161898022,0.994583333333333,0.965833333333333,0.860833333333333,0.47375,1.1183330027519,1.49662900492612,437.095238095238
