"trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","mean_abundance","mean_observed","mean_n_surveys","region","start_year","end_year","species","region_type","trend_type","parameter"
-0.297498014582247,-4.81818476456091,4.27104157239258,-4.37163025902436,-56.8065674785795,103.602540572188,1.55732547260136,NA,NA,"Ontario",1980,1997,"Dunlin","Region","Previous-three-generation","nsmooth"
-7.13023411676933,-18.0120641244955,3.89355777425403,-71.4015996755079,-96.5821786337548,91.4284720733653,3.25751013427657,NA,NA,"Pacific and Intermountain",1980,1997,"Dunlin","Region","Previous-three-generation","nsmooth"
-8.89178923636389,-17.8333013310606,-0.259505506024298,-79.094967060404,-96.4532608138299,-4.32101069889451,4.79923793588473,NA,NA,"Southeast Coastal",1980,1997,"Dunlin","Region","Previous-three-generation","nsmooth"
-4.92643182124983,-14.8088556779178,6.32925678905633,-58.583151792577,-93.4429924706892,183.855569531537,6.80993728561152,NA,NA,"Texas Coastal",1980,1997,"Dunlin","Region","Previous-three-generation","nsmooth"
1.16321617991069,-4.59087334970078,7.0538636477657,19.0885039899674,-50.5861239776548,177.993867271854,0.269537313422544,1.44807151869252,292.5,"Composite",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
3.0856224084397,-4.20096347377752,11.8673586243707,50.6340497665437,-47.4688242797408,437.713412601143,0.0281765278603904,0.150717703349282,20.5,"-1194960_-576954",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
1.35530037648797,-5.05268752606982,8.28424756282834,20.4644724028169,-54.054798658272,229.973680877384,2.96176306558121,60.0206439393939,6.25,"-144960_-317147",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
2.23594338754279,-4.93950364131464,10.7318945242005,34.3888067462704,-53.2263569362092,361.414201127535,0.116412805826351,0.524552289815448,21.7,"-144960_-836762",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
4.74095893133691,-3.31986707018842,14.3936423953006,92.7694978445446,-39.7359127342966,651.671922317335,0.00914677303272628,0.129098679098679,7.61538461538461,"-1944960_1241699",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
2.13028310833008,-4.40204298188477,9.64653133565314,34.6521267719693,-49.098665459958,298.037071170542,1.40146213002321,3.2,5,"-294960_-57339",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-5.25156747270835,-10.9213443632277,-0.210869138746169,-54.5008327996976,-82.3556837867916,-3.11677185048062,0.0644723799349543,0.336300803846443,18.6666666666667,"1055040_202469",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-4.37191353468386,-9.84334584719218,0.565630614989973,-48.3432448553517,-78.8667233353098,8.82876964173569,0.0375328979171606,0.312962831169824,50.3333333333333,"1205040_462276",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-5.58995755180011,-9.39572408675748,-2.03953147744101,-57.4440400637975,-77.2369521689908,-26.5887163845134,0.0833649519564352,1.34161417367558,86.6666666666667,"1355040_722084",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-0.133155895375828,-6.54463855688006,6.45959493370854,-1.81083691260693,-63.770418083503,155.724393203092,0.0138852515376168,0.0662393162393162,16.25,"155040_-317147",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-3.60615444396956,-8.80751532764993,1.26811351646959,-41.3272470912211,-74.9166386868677,20.8066449757636,0.0369572983898372,0.192437888198758,18.8333333333333,"1655040_202469",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-3.1000556657805,-8.68658742822375,2.84875636195445,-37.8274862135503,-74.4130301053191,52.4002464048457,0.0159633144399507,0.666666666666667,7,"1955040_722084",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-3.01061580098127,-9.83253335346243,4.52045537750628,-37.538273194939,-78.8286760004642,94.09725750151,0.0236827340969919,0.0833333333333333,6.5,"2105040_462276",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-2.44322636889979,-7.7390302050441,2.78110852571407,-30.8262939072937,-70.1275921304278,50.9035551008798,0.00945023705998631,0.0583850220989475,49.3125,"2105040_981891",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-3.06365300801831,-9.13332727127051,3.00247819438465,-37.5722882825442,-76.2277993953411,55.8529905657263,0.0225247385578714,0.218834422657952,9.2,"2255040_722084",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-3.05350147793305,-9.45803334962386,3.51377576494949,-37.1425853885843,-77.4706350940501,67.869741289475,0.00800629948213256,0.0888821108153406,18.9285714285714,"2405040_981891",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-2.86896559831256,-10.5636505742124,4.96143255278053,-35.4972241829429,-81.2625295316339,106.750356376968,0.014263634923222,0.0418418882704597,6.57142857142857,"2555040_1241699",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-1.1484741302645,-7.25557948054119,5.02223117691938,-15.8641150848507,-67.691493478224,108.554048482673,0.0509765263097641,0.157894736842105,19,"305040_-576954",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-1.82735413685436,-7.512755330429,3.63157547950049,-23.5114740680977,-69.0095224413541,70.7581807758598,0.105260139033219,0.489285714285714,4.66666666666667,"455040_-317147",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-0.867107109007182,-5.52013208697575,3.46634768937679,-10.8438094143206,-57.3332891336372,66.7196483618571,0.342542952225982,2.38020313020313,12.3571428571429,"605040_462276",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-4.56269557606593,-10.4827372893182,0.649108848645813,-49.5381406502538,-81.0066352669133,10.1917344006523,0.0449016102618783,0.683347297863427,28.7272727272727,"905040_462276",2004,2019,"Baird's Sandpiper","hex_name","15-year","nsmooth"
-3.79551859565158,-6.55382100388612,-1.10067278302413,-77.5569694424538,-92.8894962643853,-35.0558037944012,0.381495155069028,3.1921369991952,498.65,"Composite",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
-4.41705108725739,-8.34409829524575,-0.397273955678585,-83.0079531758595,-96.6560685180444,-14.3794139322359,0.0444113707304042,0.443172957646642,12.8333333333333,"-1194960_-576954",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
-3.36897334264442,-6.73099278966855,0.151587857146133,-73.651735388591,-93.3967631666232,6.08542978185121,4.09136303464737,23.3843464405964,9.75,"-144960_-317147",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
-3.29316746608095,-6.62691911964192,0.212419676084052,-73.2166038109374,-93.1032276880048,8.62766376656422,0.152091870986632,0.874251203818141,34.1470588235294,"-144960_-836762",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
-2.48986415337871,-7.14152065916348,2.46295191981328,-63.3156646941033,-94.4404290884932,158.290052861382,0.0115378345225023,0.0939423548232762,27.4090909090909,"-1944960_1241699",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
-4.81916164598141,-8.04070933517666,-1.37747449459732,-85.5821371192299,-96.1961017302495,-41.7804677817455,2.34274172564465,147.544554374719,14,"-294960_-57339",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
-1.47397685054089,-4.40598830435937,1.55238285150693,-43.4384843596887,-82.7496925637378,82.3537143504536,0.0754067184941662,0.433986134114272,30.0666666666667,"1055040_202469",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
-1.60155972504748,-4.12071634266539,0.736511919164987,-45.9227115303542,-80.6238953740247,33.1341453818028,0.0439426760329856,0.346373303822778,97.6666666666667,"1205040_462276",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
1.05668988644184,-0.808232700705787,2.74380707408509,52.7257355345877,-27.129877108105,187.389246185564,0.0838717516822013,1.18101675553356,136.117647058824,"1355040_722084",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
-2.84638482323253,-6.44537981598621,0.751945639113296,-67.3079992872708,-92.5604868352933,33.9319790599039,0.0178042279098554,0.0911578609093413,23.6190476190476,"155040_-317147",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
0.556807015648218,-2.36581169190738,3.29758279575215,24.9040172902493,-60.6925477381942,254.418353360608,0.0368378475420143,0.20043464432214,29.2,"1655040_202469",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
1.42002170029073,-2.22087479572452,5.10162068416505,73.4722087361918,-58.3514506200916,596.253042986009,0.0151298778895325,0.206689983685782,10.5714285714286,"1955040_722084",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
0.988259856334393,-3.14501729182877,5.21805202047375,45.8649839133655,-71.2421202310379,626.975923575141,0.0227514276362775,0.0787909649975291,18.4074074074074,"2105040_462276",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
