"trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","p_decline","p_decline_GT_30","p_decline_GT_50","p_decline_GT_70","mean_abundance","mean_observed","mean_n_surveys","trend_type","species","start_year","end_year","parameter","region","true_trend"
-2.88726142797076,-4.18263782878098,-1.59437169567117,-68.1704394990484,-81.1059859258625,-46.570926845983,1,1,0.9546875,0.4203125,0.382063152111719,1.38135930551562,487.675,"Long-term","Simulated_Whimbrel",1980,2019,"NSmooth","Survey Wide",-3.87424702357361
-0.905341655307149,-4.90428142715486,3.27726670149919,-8.72359437644606,-39.520294655665,38.0535135476858,0.686875,0.0925,0.003125,0,0.217303216835227,0.754215218050095,386.545454545455,"Recent-three-generation","Simulated_Whimbrel",2009,2019,"NSmooth","Survey Wide",-3.87424702357361
-3.90201431098943,-6.78652675570246,-1.32671446945367,-32.6660317073698,-50.4792847058782,-12.5024500050222,0.9971875,0.61375,0.0284375,0,0.282856911940341,1.00694289490321,491.454545454545,"Previous-three-generation","Simulated_Whimbrel",1999,2009,"NSmooth","Survey Wide",-3.87424702357361
-5.56916778790976,-7.35941786041507,-3.76528463118797,-89.2608492716741,-94.9271765157093,-77.6159388921453,1,1,1,0.9990625,2.60363648499375,1.12716916669845,441.95,"Long-term","Simulated_Hudsonian Godwit",1980,2019,"NSmooth","Survey Wide",-6.89213290703529
-3.91772925696316,-9.45707783004349,1.54110646272787,-33.1655941540051,-62.9707365369559,16.5249475377169,0.928125,0.5646875,0.144375,0.0053125,0.7491111081875,0.547141084906877,360.909090909091,"Recent-three-generation","Simulated_Hudsonian Godwit",2009,2019,"NSmooth","Survey Wide",-6.89213290703529
-7.59669876377051,-11.3408134220056,-3.81656503089853,-54.3864687546983,-69.9919741973036,-32.23540482074,1,0.9865625,0.67875,0.0246875,1.4286283725,1.10920588948322,465.545454545455,"Previous-three-generation","Simulated_Hudsonian Godwit",1999,2009,"NSmooth","Survey Wide",-6.89213290703529
0.158798809039805,-0.866331900493983,1.45102552964128,2.98340563441821,-28.7760806840788,75.3885428292292,0.399375,0.021875,0.001875,0,4.04428913503125,1.529025899238,154.975,"Long-term","Simulated_Marbled Godwit",1980,2019,"NSmooth","Survey Wide",0.115402266755824
0.148100226593203,-2.86616594984607,3.19229453235285,0.552872369994906,-25.2337969228278,36.9218337512586,0.453125,0.015,0.0009375,0,4.178514105625,2.77431896798271,40.6363636363636,"Recent-three-generation","Simulated_Marbled Godwit",2009,2019,"NSmooth","Survey Wide",0.115402266755824
0.28632522499171,-1.58271573536721,2.79190835203833,1.26815868693907,-14.7461945453001,31.7010676212551,0.3996875,0.00125,0,0,4.038315273125,0.870806183468231,159.727272727273,"Previous-three-generation","Simulated_Marbled Godwit",1999,2009,"NSmooth","Survey Wide",0.115402266755824
-2.82064096687018,-4.88988226596344,-0.599331354313502,-67.2951431992193,-85.8472103254683,-20.8988231445379,0.99375,0.96,0.851875,0.4175,5.07360995332813,8.70456811268189,732.2,"Long-term","Simulated_Ruddy Turnstone",1980,2019,"NSmooth","Survey Wide",-3.64620783829223
