"trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","p_decline","p_decline_GT_30","p_decline_GT_50","p_decline_GT_70","mean_abundance","mean_observed","mean_n_surveys","region","centered_log_trend","centered_log_trend_lci","centered_log_trend_uci","start_year","end_year","species","region_type","trend_type","parameter","true_trend","prec"
-4.45481288159674,-8.397860939638,-0.502403443317025,-36.9206487150538,-58.4035610210799,-4.91195830023665,0.9853125,0.6840625,0.1340625,0,0.00791037413551136,0.0227272727272727,7.5,"605040_-576954",0.0889072368045356,-0.124083639759489,0.370674071000637,1999,2009,"Simulated_Dunlin","hex_name","Previous-three-generation","nsmooth",-2.79261477996354,0.246500346540275
-4.93968441384965,-8.70688020750365,-1.224634864101,-39.6993227565422,-59.7857024423,-11.5930437118083,0.9953125,0.785,0.17625,0.0003125,0.0628290739005682,4.99499102188678,26.625,"605040_462276",0.0382658152568703,-0.139648777253199,0.235347913180416,1999,2009,"Simulated_Dunlin","hex_name","Previous-three-generation","nsmooth",-4.19630672072541,0.274478445062883
-5.09488640565893,-8.81892182577371,-1.36340810339903,-40.5576101363108,-60.2765229333865,-12.8272831775007,0.99625,0.7959375,0.2034375,0.0015625,0.587668308579545,12.116935272965,21.3,"905040_462276",0.0218993121684703,-0.175728857113018,0.217209972428357,1999,2009,"Simulated_Dunlin","hex_name","Previous-three-generation","nsmooth",-4.25435197388971,0.276450249514848
0.397069232846355,-0.877561242700392,1.61793571782199,16.762414645425,-29.0900466255013,87.0011879943678,0.2478125,0.021875,0.000625,0,0.157608869488062,0.562875278418096,498.65,"Composite",NA,NA,NA,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",NA,2.46750501246611
0.736799747581201,-1.12376986257177,2.79856031148089,30.2749099626954,-35.6447274603469,193.423078405197,0.2196875,0.0390625,0.0046875,0,0.028039161646875,0.137486964789596,12.8333333333333,"-1194960_-576954",0.130641528482835,-0.438954696093987,0.761216548771712,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",1.91606636282418,0.99881219489664
0.58980510618982,-1.13659563686305,2.46207774756078,23.3008388656299,-35.9694979242932,158.204459148925,0.2540625,0.046875,0.003125,0,1.21960789445313,7.3549512987013,9.75,"-144960_-317147",0.0739319703079584,-0.287796128245137,0.482341736891552,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",1.17141681633453,1.18655335130481
0.917372452683072,-0.709277714302652,2.61689595791637,40.5820816178357,-24.2403160197192,173.864741501846,0.135,0.014375,0.000625,0,0.0751883092398438,0.396563496401491,34.1470588235294,"-144960_-836762",0.200930662860104,-0.299809012555427,0.750478119194882,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",2.18820596782747,1.38893617960163
0.552487833754396,-1.35687350034376,2.78679661217524,22.2451552695888,-41.304294568735,192.116395745802,0.293125,0.0575,0.0109375,0.0003125,0.00468063454124219,0.0412199532191828,27.4090909090909,"-1944960_1241699",0.0590558280963539,-0.606687732314062,0.816752749165632,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",-1.4251390046811,0.89495621484273
0.555918327224138,-0.999317926665748,2.19608876953879,22.9413231973784,-32.408936169622,133.311826669993,0.239375,0.0325,0.0021875,0,1.19918992695312,6.65657801019643,14,"-294960_-57339",0.0611545167747522,-0.288447758656175,0.408730193564781,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",0.700382743760808,1.5049423099904
0.0100720716744074,-1.45208808581276,1.47163083923086,0.224012791319805,-43.4738197086302,76.7831998957473,0.4959375,0.0934375,0.009375,0,0.0399886731984375,0.339974085226768,30.0666666666667,"1055040_202469",-0.150913159717224,-0.827263542893536,0.444398813391247,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",-0.10200720283372,1.79763243782971
